Filter,Selected Values,,,
Standard NCSv2 Family vCPUs,South India,0,0,0%
Standard NCSv3 Family vCPUs,South India,0,0,0%
Standard NC Promo Family vCPUs,South India,0,6,0%
Standard NCADSA10v4 Family vCPUs,South India,0,0,0%
Standard NCASv3_T4 Family vCPUs,South India,0,0,0%
Standard NCADS_A100_v4 Family vCPUs,South India,0,0,0%
Standard NCadsH100v5 Family vCPUs,South India,0,0,0%
Standard NCCads2023 Family vCPUs,South India,0,0,0%
Standard NDS Family vCPUs,South India,0,0,0%
Standard NDSv2 Family vCPUs,South India,0,0,0%
Standard NDSv3 Family vCPUs,South India,0,0,0%
Standard NDAMSv4_A100Family vCPUs,South India,0,0,0%
Standard NDASv4_A100 Family vCPUs,South India,0,0,0%
Standard NDSH100v5 Family vCPUs,South India,0,0,0%
StandardNDISRH200V5Family vCPUs,South India,0,0,0%
StandardNDI Sv 5MI300X Family vCPUs,South India,0,0,0%
Standard NGADSV620v1 Family vCPUs,South India,0,0,0%
Standard NPS Family vCPUs,South India,0,4,0%
Standard NVADSA10v5 Family vCPUs,South India,0,0,0%
Standard NV Family vCPUs,South India,0,6,0%
Standard NVadsV710v5 Family vCPUs,South India,0,0,0%
Standard NVSv2 Family vCPUs,South India,0,0,0%
Standard NVSv3 Family vCPUs,South India,0,0,0%
Standard NV Promo Family vCPUs,South India,0,6,0%
Standard NVSv4 Family vCPUs,South India,0,0,0%
Standard PBS Family vCPUs,South India,0,0,0%
Standard Storage Managed Disks,South India,0,50000,0%
Premium Storage Managed Disks,South India,0,50000,0%
StandardSSDStorageDisks,South India,0,50000,0%
StandardSSDZRSStorageDisks,South India,0,50000,0%
PremiumZRSStorageDisks,South India,0,50000,0%
UltraSSDStorageDisks,South India,0,1000,0%
PremiumV2StorageDisks,South India,0,1000,0%
StandardStorageSnapshots,South India,0,75000,0%
StandardSSDStorageSnapshots,South India,0,75000,0%
PremiumStorageSnapshots,South India,0,75000,0%
ZrsStorageSnapshots,South India,0,75000,0%
UltraSSDTotalSizeInGB,South India,0,102400,0%
PremiumV2TotalDiskSizeInGB,South India,0,102400,0%
DiskEncryptionSets,South India,0,5000,0%
DiskAccesses,South India,0,1000,0%
BackgroundCopyInProgressUltraSSDDisks,South India,0,50,0%
BackgroundCopyInProgressPremiumV2Disks,South India,0,50,0%
PremiumV2StorageSnapshots,South India,0,1000,0%
PremiumV2TotalSnapshotSizeInGB,South India,0,102400,0%
Gallery,South India,0,100,0%
Gallery Image,South India,0,1000,0%
Gallery Image Version,South India,0,10000,0%
Gallery Application Version,South India,0,300,0%
Gallery Script Version,South India,0,300,0%
